Time	eastMoving_arrvCarCount_noise	westMoving_arrvCarCount_noise	eastMoving_dptCarCount_noise	westMoving_dptCarCount_noise	westSideQueue	eastSideQueue	TrafficLight	phaseSigma	elapseTimeInGreen	carPassingTime_mean	eastMoving_arrvCarCount	westMoving_arrvCarCount	eastMoving_dptCarCount	westMoving_dptCarCount
5940.0	5	2	5	3	17	2	20	2.225281408304343	22.002036126478934	4.0	6	2	5	3
5970.0	6	2	8	0	15	4	20	2.9606592367631066	52.00203612647847	4.0	6	2	8	0
6000.0	3	1	7	0	11	5	20	1.5977184208054434	82.0020361264789	4.0	3	1	7	0
6030.0	4	1	7	0	7	6	20	2.577863166200098	112.00203612647891	4.0	4	1	8	0
6060.0	11	4	3	5	15	4	0	2.4174042171849828	19.678840775465662	4.0	10	4	3	5
6090.0	2	2	0	7	16	0	20	0.5075605591200247	3.977816020978935	4.0	2	2	0	7
6120.0	5	4	8	0	13	4	20	3.7256266070675057	33.977816020980185	4.0	5	4	8	0
6150.0	6	5	7	0	12	10	20	2.081111525417233	63.977816020981024	4.0	6	6	7	0
6180.0	3	3	8	0	8	14	20	0.6715076835112397	93.97781602098057	4.0	3	4	7	0
6210.0	4	6	6	0	5	19	0	0.7720608573215415	3.555939182995644	4.0	4	6	8	0
6240.0	3	6	0	9	8	16	0	1.4223284810909176	33.55593918299584	4.0	3	5	0	8
6270.0	2	3	0	8	11	12	0	0.11892443193715163	63.555939182996596	4.0	3	3	0	7
6300.0	7	3	0	8	18	7	0	0.9812420503074621	93.555939182997	4.0	7	3	0	8
6330.0	7	0	0	9	24	0	20	2.76258956988568	0.7842426564211564	4.0	7	0	0	8
6360.0	7	4	7	0	24	4	20	1.41166056069589	30.784242656421377	4.0	7	4	7	0
6390.0	3	3	7	0	20	7	20	0.7281496181618294	60.784242656420425	4.0	3	3	7	0
6420.0	6	4	8	0	18	11	20	3.1519133501061676	90.78424265641974	4.0	6	4	8	0
6450.0	3	0	7	0	15	11	20	1.9137266320504729	120.78424265642032	4.0	4	0	7	0
6480.0	10	4	1	6	24	7	0	1.2212248569975417	28.08627336794902	4.0	9	3	1	6
6510.0	6	7	0	8	29	7	0	0.0963392256179092	58.086273367949794	4.0	5	7	0	7
6540.0	0	3	0	6	29	2	0	2.72100989731892	88.08627336795044	4.0	0	3	0	8
6570.0	7	3	3	5	32	2	20	0.0020042862077280788	14.855910490365257	4.0	7	3	3	4
6600.0	8	3	8	0	32	5	20	3.431641632435735	44.8559104903656	4.0	8	3	8	0
6630.0	2	4	6	0	27	9	20	2.9984215425196243	74.8559104903672	4.0	2	4	7	0
6660.0	3	5	7	0	23	14	20	0.569596321004985	104.85591049036599	4.0	3	5	7	0
6690.0	2	3	6	2	21	14	0	0.3559623875529567	12.63074278401373	4.0	2	3	5	2
6720.0	6	2	0	6	26	9	0	0.4472150018506946	42.630742784014174	4.0	5	2	0	7
6750.0	3	1	0	8	29	2	0	2.8488676799262533	72.63074278401375	4.0	3	1	0	8
6780.0	2	3	4	3	26	3	20	1.0453958988246628	19.657261029937718	4.0	2	3	4	3
6810.0	1	6	8	0	19	8	20	4.303641211060687	49.657261029938056	4.0	1	5	8	0
6840.0	4	7	6	0	16	14	20	3.8572941117570965	79.65726102993928	4.0	4	6	7	0
6870.0	1	2	8	0	10	16	20	2.817369953969858	109.65726102994009	4.0	1	2	7	0
6900.0	2	2	3	3	10	13	0	0.634433679420602	19.170193824442475	4.0	2	2	3	4
6930.0	3	2	0	7	13	7	0	3.560422913591653	49.17019382444344	4.0	3	2	0	8
6960.0	8	3	0	7	21	3	0	2.1182674002355446	79.17019382444359	4.0	8	3	0	7
6990.0	3	2	1	6	22	0	20	0.12037057200430334	7.469269767519737	4.0	3	2	1	6
7020.0	1	4	7	0	15	5	20	0.8502372303489825	37.469269767520075	4.0	1	5	8	0
7050.0	3	3	8	0	10	9	20	1.8072413109545993	67.46926976752027	4.0	3	4	8	0
7080.0	6	2	7	0	9	11	20	0.33626920844010755	97.46926976751956	4.0	6	2	7	0
7110.0	3	3	6	1	6	12	0	0.3569833854214681	6.64693259157039	4.0	3	3	7	1
7140.0	6	4	0	8	12	8	0	2.1058541598297627	36.64693259156956	4.0	6	4	0	8
7170.0	7	1	0	6	19	3	0	0.046085730243041745	66.64693259156859	4.0	7	2	0	7
7200.0	5	4	1	7	23	1	20	0.8526087719348125	5.950375755607533	4.0	6	4	1	7
7230.0	3	3	7	0	18	4	20	1.2350081595607225	35.95037575560784	4.0	3	3	8	0
7260.0	4	6	7	0	15	10	20	4.663018589207567	65.95037575560748	4.0	5	6	8	0
7290.0	4	1	6	0	12	11	20	2.785964649223511	95.9503757556071	4.0	4	1	7	0
7320.0	4	2	7	0	11	12	0	0.7280217333152779	3.866472806306774	4.0	5	2	7	0
7350.0	3	1	0	7	14	5	0	1.4574040334041838	33.86647280630629	4.0	3	1	0	8
7380.0	0	5	0	7	14	3	0	0.0031880080260831	63.86647280630528	4.0	0	5	0	7
7410.0	3	5	0	9	17	0	0	2.63316171073605	93.86647280630567	4.0	3	5	0	8
7440.0	4	5	6	1	14	5	20	2.462993631385623	27.366838289264418	4.0	4	5	6	1
7470.0	4	2	8	0	11	7	20	0.5049064809731858	57.36683828926464	4.0	4	2	7	0
7500.0	3	4	8	0	6	11	20	3.2739882402288982	87.3668382892652	4.0	3	4	8	0
7530.0	7	2	6	0	6	13	20	0.4527764033918702	117.36683828926422	4.0	7	2	7	0
7560.0	4	0	2	6	9	6	0	3.6453925274381263	26.370429296408098	4.0	4	0	2	6
7590.0	1	3	0	7	10	1	0	3.283622818076238	56.3704292964082	4.0	1	3	0	8
7620.0	1	4	4	3	6	3	20	1.0050864872402885	18.555278669248718	4.0	1	4	4	3
7650.0	5	2	8	0	4	5	20	3.8035735724692596	48.555278669249816	4.0	6	2	8	0
7680.0	5	2	6	0	3	7	20	0.06709451926345533	78.55527866925168	4.0	5	2	6	0
7710.0	4	3	5	3	3	6	0	1.3371574336129912	14.392971360650737	4.0	4	3	5	3
7740.0	4	4	0	8	7	2	0	1.4980842168816828	44.3929713606505	4.0	4	4	0	8
7770.0	2	2	4	3	4	1	20	2.003801687371899	17.99891496482348	4.0	2	2	4	4
7800.0	4	2	8	0	0	3	20	1.4931947677093977	47.998914964823776	4.0	4	2	8	0
7830.0	3	4	2	5	1	1	20	1.1239996793762912	6.5869550474818	4.0	3	4	2	6
7860.0	2	2	4	2	0	0	0	2.938133650859248	6.065704716785386	4.0	2	2	4	2
7890.0	2	3	2	4	0	0	20	2.537280839406389	8.213751396130455	4.0	3	3	2	4
7920.0	0	1	1	1	0	0	0	Infinity	27.462719160593007	4.0	0	1	1	1
7950.0	6	1	6	0	0	0	0	2.766611098028823	1.0207221922573808	4.0	6	1	6	0
7980.0	2	3	1	2	1	1	0	0.10575701472851051	8.112273869562532	4.0	2	3	1	2
8010.0	1	4	2	5	0	0	0	1.9972242443092685	5.400048312866428	4.0	1	4	2	5
